frame,absrel,sqrel,rmse,rmse_log,delta1,delta2,delta3
1661868173547958016.png,0.649555,2.575157,4.865524,1.072488,0.000000,0.000013,0.000567
1661868173589958912.png,0.644576,2.540884,4.834327,1.058449,0.000000,0.000000,0.000764
1661868173628959744.png,0.694757,3.162462,5.658730,1.238554,0.000000,0.000000,0.000000
1661868173676960768.png,0.672767,3.213166,5.929293,1.185679,0.000000,0.000000,0.000000
1661868173715961600.png,0.674500,3.245579,5.972966,1.189990,0.000000,0.000000,0.000000
1661868173760962560.png,0.693919,3.461045,6.184905,1.259584,0.000000,0.000000,0.000000
1661868173802963456.png,0.697019,3.533756,6.278650,1.272621,0.000000,0.000000,0.000024
1661868173844964352.png,0.656243,3.185826,5.995068,1.144090,0.000000,0.000000,0.000000
1661868173886965248.png,0.619456,2.787326,5.568787,1.023418,0.000000,0.000000,0.019757
1661868173931966208.png,0.625144,2.832808,5.607460,1.040835,0.000000,0.000000,0.005121
1661868173973967104.png,0.648660,2.965757,5.675898,1.105235,0.000000,0.000000,0.000012
1661868174021968128.png,0.660791,2.946127,5.557001,1.127186,0.000000,0.000000,0.000000
1661868174063969024.png,0.630650,2.620950,5.168868,1.034854,0.000006,0.000069,0.000242
1661868174105969920.png,0.640634,2.670163,5.178884,1.062109,0.000000,0.000132,0.000487
1661868174147970816.png,0.653832,2.718142,5.161433,1.095729,0.000068,0.000303,0.000645
1661868174183971584.png,0.641747,2.648166,5.117324,1.061779,0.000102,0.000188,0.000381
1661868174225972480.png,0.647707,2.654970,5.072631,1.071984,0.000165,0.000347,0.000705
1661868174264973312.png,0.646262,2.649445,5.061198,1.069190,0.000199,0.000324,0.000886
1661868174306974208.png,0.659817,2.711152,5.063402,1.103217,0.000154,0.000348,0.001989
1661868174354975232.png,0.650908,2.622754,4.939187,1.072031,0.000241,0.000620,0.002026
1661868174399976192.png,0.650599,2.647378,4.969523,1.074464,0.000109,0.000466,0.001794
1661868174441977088.png,0.661233,2.724944,4.996257,1.101870,0.000144,0.000571,0.001361
1661868174483977984.png,0.650659,2.654626,4.933796,1.070927,0.000196,0.000673,0.001502
1661868174525978880.png,0.658322,2.716790,4.963981,1.091914,0.000133,0.000588,0.001228
1661868174564979712.png,0.660289,2.726930,4.952813,1.096004,0.000266,0.000618,0.001137
1661868174603980544.png,0.663717,2.758367,4.949817,1.106513,0.000207,0.000662,0.001197
1661868174645981440.png,0.671865,2.826777,4.990700,1.131734,0.000327,0.000796,0.001025
1661868174693982464.png,0.658815,2.736261,4.898416,1.092695,0.000421,0.000745,0.001075
1661868174735983360.png,0.680029,2.912457,5.027470,1.156010,0.000225,0.000562,0.000955
1661868174780984320.png,0.677174,2.918051,5.052662,1.147233,0.000499,0.000898,0.001633
1661868174828985344.png,0.692192,3.100953,5.248669,1.202729,0.001515,0.001972,0.002995
1661868174870986240.png,0.707586,3.219883,5.338033,1.255109,0.001518,0.001958,0.003080
1661868174912987136.png,0.709466,3.253551,5.377043,1.266561,0.000990,0.001833,0.002703
1661868174960988160.png,0.700052,3.195720,5.349983,1.237418,0.001145,0.001781,0.002851
1661868175002989056.png,0.703972,3.351487,5.552907,1.256518,0.001492,0.002113,0.003553
1661868175044989952.png,0.707399,3.398917,5.606737,1.262215,0.001493,0.002503,0.004280
1661868175086990848.png,0.703648,3.477010,5.796131,1.259036,0.001565,0.002711,0.004265
1661868175128991744.png,0.722203,3.712197,6.066549,1.327957,0.001208,0.003039,0.004976
1661868175170992640.png,0.731588,3.925382,6.333501,1.364479,0.001432,0.002596,0.004692
1661868175209993472.png,0.717386,3.981521,6.552236,1.325709,0.001673,0.002680,0.004556
1661868175251994368.png,0.755634,4.481732,6.998894,1.469354,0.000856,0.001942,0.003740
1661868175302995456.png,0.765368,4.671067,7.215379,1.530180,0.000712,0.002033,0.003514
1661868175341996288.png,0.771947,4.811250,7.354540,1.549400,0.000480,0.001378,0.002994
1661868175383997184.png,0.772497,5.012913,7.645032,1.550703,0.000961,0.002673,0.004485
1661868175425998080.png,0.773071,5.115389,7.784658,1.557928,0.000274,0.001766,0.003335
1661868175470999040.png,0.775138,5.233153,7.921859,1.564017,0.000374,0.001669,0.003576
1661868175509999872.png,0.775819,5.288238,7.977242,1.562607,0.000714,0.001498,0.003140
1661868175549000704.png,0.767416,5.181136,7.889070,1.529602,0.000954,0.001893,0.003743
1661868175591001600.png,0.781463,5.421052,8.082937,1.586907,0.000875,0.001665,0.003440
1661868175639002624.png,0.760788,5.192559,7.915351,1.492918,0.001003,0.002406,0.005201
1661868175681003520.png,0.764234,5.210398,7.905426,1.515966,0.001271,0.002709,0.005886
1661868175723004416.png,0.772826,5.272732,7.916693,1.538537,0.001006,0.002393,0.004853
1661868175765005312.png,0.754285,5.007857,7.688702,1.462611,0.001289,0.003554,0.006142
1661868175810006272.png,0.781547,5.373044,7.966741,1.572083,0.000547,0.001570,0.003469
1661868175849007104.png,0.769528,5.248421,7.893783,1.525669,0.001195,0.002485,0.004637
1661868175897008128.png,0.761492,5.200881,7.878212,1.487554,0.001059,0.002293,0.004386
1661868175939009024.png,0.755106,5.165332,7.892964,1.462666,0.000926,0.002305,0.003868
1661868175981009920.png,0.743185,5.006659,7.770210,1.412604,0.001046,0.002505,0.004538
1661868176029010944.png,0.757726,5.191281,7.915973,1.467985,0.000844,0.002602,0.004410
1661868176071011840.png,0.752562,5.059790,7.783762,1.447596,0.000926,0.002633,0.004655
1661868176113012736.png,0.749708,4.986635,7.711310,1.440049,0.001182,0.002761,0.005206
1661868176152013568.png,0.753848,5.032479,7.760334,1.454750,0.001272,0.003474,0.006234
1661868176197014528.png,0.750511,4.954443,7.681149,1.444377,0.001746,0.004377,0.006892
1661868176242015488.png,0.733337,4.663941,7.413198,1.377241,0.002398,0.004654,0.007455
1661868176284016384.png,0.734798,4.772370,7.548711,1.387914,0.002328,0.004731,0.008031
1661868176323017216.png,0.734749,4.761371,7.539870,1.385217,0.002373,0.005241,0.008668
1661868176368018176.png,0.732652,4.678427,7.431350,1.378677,0.002723,0.006468,0.013479
1661868176410019072.png,0.751557,4.906319,7.627084,1.452647,0.002083,0.005546,0.009190
1661868176452019968.png,0.743812,4.836427,7.603510,1.425989,0.002219,0.006498,0.018046
1661868176497020928.png,0.755187,4.982893,7.719582,1.476562,0.002407,0.008376,0.020372
1661868176536021760.png,0.742078,4.745952,7.499203,1.420408,0.004297,0.009022,0.021636
1661868176578022656.png,0.752328,4.822634,7.559981,1.462805,0.003131,0.008751,0.019768
1661868176617023488.png,0.744891,4.690794,7.432593,1.433344,0.003154,0.009207,0.021662
1661868176659024384.png,0.743928,4.658653,7.400670,1.438811,0.004164,0.010265,0.020045
1661868176701025280.png,0.739188,4.604456,7.357023,1.426012,0.003811,0.011998,0.024505
1661868176743026176.png,0.716458,4.239923,7.012846,1.338774,0.004056,0.012682,0.031606
1661868176785027072.png,0.726250,4.399314,7.180233,1.389778,0.003510,0.010505,0.043198
1661868176824027904.png,0.739658,4.539947,7.304617,1.442701,0.002317,0.008067,0.028924
1661868176869028864.png,0.765927,4.849144,7.552519,1.555077,0.003026,0.006017,0.017864
1661868176914029824.png,0.746050,4.596856,7.374920,1.483910,0.002543,0.007453,0.034701
1661868176953030656.png,0.758996,4.781636,7.565524,1.541955,0.003275,0.007459,0.025838
1661868176992031488.png,0.757674,4.715674,7.507727,1.539598,0.002721,0.006770,0.020858
1661868177034032384.png,0.739206,4.475550,7.298285,1.465246,0.003502,0.010627,0.041862
1661868177076033280.png,0.744545,4.491883,7.310421,1.499871,0.002672,0.007580,0.039220
1661868177118034176.png,0.748351,4.395457,7.190905,1.512721,0.003266,0.008682,0.033747
1661868177163035136.png,0.747327,4.379704,7.181602,1.503047,0.003538,0.008575,0.033097
1661868177208036096.png,0.735943,4.179563,6.944649,1.438758,0.005856,0.014050,0.045600
1661868177244036864.png,0.713075,4.078862,6.881573,1.366256,0.004420,0.021398,0.117862
1661868177283037696.png,0.732304,4.310070,7.118226,1.436396,0.003958,0.012329,0.079619
1661868177325038592.png,0.760762,4.761933,7.514555,1.537018,0.003377,0.011137,0.041052
1661868177367039488.png,0.771797,4.848966,7.555048,1.572057,0.002645,0.008147,0.016382
1661868177409040384.png,0.760328,4.821459,7.575760,1.536450,0.003326,0.008354,0.019170
1661868177451041280.png,0.773581,4.908409,7.619920,1.598877,0.003751,0.006664,0.012587
1661868177493042176.png,0.752185,4.675879,7.445993,1.508215,0.004158,0.007916,0.014620
1661868177535043072.png,0.753564,4.680744,7.457928,1.513813,0.004003,0.007322,0.022067
1661868177580044032.png,0.751550,4.730674,7.534934,1.510296,0.003896,0.007309,0.019108
1661868177625044992.png,0.750111,4.721924,7.521887,1.520333,0.004601,0.009355,0.040175
1661868177670045952.png,0.743319,4.668349,7.478884,1.517769,0.006742,0.020935,0.058370
1661868177712046848.png,0.727891,4.527533,7.390153,1.462097,0.012990,0.039736,0.065908
1661868177748047616.png,0.750213,4.662345,7.473031,1.550730,0.007018,0.015226,0.055760
1661868177793048576.png,0.746801,4.706239,7.521191,1.564952,0.009344,0.033774,0.068130
1661868177838049536.png,0.737167,4.722342,7.562419,1.566189,0.013217,0.051318,0.092334
1661868177877050368.png,0.753212,4.828569,7.648272,1.618000,0.007975,0.036979,0.075699
1661868177916051200.png,0.742573,4.721748,7.573142,1.590563,0.013027,0.052502,0.091320
1661868177958052096.png,0.725269,4.575366,7.452582,1.531478,0.031188,0.072997,0.098837
1661868178003053056.png,0.696834,4.385085,7.292837,1.460738,0.054200,0.093511,0.169367
1661868178048054016.png,0.719604,4.680228,7.573876,1.555889,0.042613,0.091105,0.158030
1661868178090054912.png,0.717180,4.665851,7.576469,1.536816,0.034197,0.079397,0.179611
1661868178132055808.png,0.691410,4.485208,7.440606,1.465421,0.058529,0.117896,0.211359
1661868178171056640.png,0.704442,4.611354,7.546202,1.530890,0.050299,0.118817,0.210579
1661868178207057408.png,0.690384,4.389986,7.361694,1.454414,0.056917,0.119702,0.216369
1661868178249058304.png,0.679651,4.366012,7.324923,1.475571,0.069259,0.163912,0.245416
1661868178297059328.png,0.661255,4.164350,7.153077,1.405296,0.096584,0.211538,0.290576
1661868178339060224.png,0.666834,4.156326,7.125042,1.428010,0.115149,0.245004,0.316442
1661868178384061184.png,0.677799,3.881087,6.804061,1.371410,0.127454,0.237573,0.309050
1661868178426062080.png,0.713196,3.828795,6.783965,1.310062,0.109639,0.234220,0.279673
1661868178468062976.png,0.687699,4.097938,6.979491,1.371617,0.075790,0.149985,0.240200
1661868178510063872.png,0.724719,4.226817,6.995408,1.407740,0.061259,0.165957,0.217748
1661868178546064640.png,0.709147,4.100403,6.850111,1.338948,0.043178,0.135193,0.178420
1661868178588065536.png,0.708851,4.078707,6.827114,1.332185,0.043103,0.133467,0.178331
1661868178630066432.png,0.700679,4.281516,6.996259,1.352947,0.103847,0.149166,0.163402
1661868178669067264.png,0.705069,4.302267,7.026011,1.380808,0.080120,0.146727,0.172451
1661868178711068160.png,0.707782,4.374579,7.131738,1.410900,0.078816,0.142301,0.181705
1661868178759069184.png,0.684156,4.255605,7.010951,1.389244,0.135385,0.159017,0.175718
1661868178804070144.png,0.667398,4.117779,6.914608,1.333522,0.131054,0.174585,0.190727
1661868178846071040.png,0.692033,3.663048,6.111711,1.331617,0.111216,0.218146,0.245654
1661868178888071936.png,0.724320,3.598037,5.955007,1.395987,0.079753,0.172899,0.220844
1661868178930072832.png,0.767476,4.344142,6.943979,1.455904,0.027739,0.061846,0.076051
1661868178972073728.png,0.792486,4.676715,7.306832,1.497259,0.015975,0.021129,0.048065
1661868179014074624.png,0.786060,4.725318,7.349182,1.510929,0.017819,0.021728,0.039864
1661868179059075584.png,0.873380,4.732497,7.218719,1.508554,0.001669,0.004555,0.007866
1661868179107076608.png,0.769643,4.619160,7.220938,1.481178,0.001139,0.001785,0.006596
1661868179152077568.png,0.768460,4.681414,7.289470,1.489585,0.001872,0.002818,0.005529
1661868179191078400.png,0.765281,4.660579,7.267337,1.506907,0.001898,0.003139,0.004487
1661868179233079296.png,0.778722,4.814815,7.396286,1.573476,0.001712,0.002899,0.004794
1661868179278080256.png,0.768423,4.646550,7.269943,1.525097,0.001661,0.002680,0.004624
1661868179320081152.png,0.771645,4.673475,7.282214,1.537413,0.001222,0.002224,0.003880
1661868179362082048.png,0.773004,4.622755,7.254427,1.546451,0.001330,0.002035,0.003889
1661868179407083008.png,0.778185,4.662087,7.286170,1.571444,0.001193,0.002087,0.004286
1661868179452083968.png,0.781319,4.647470,7.277155,1.587545,0.001466,0.002379,0.004282
