frame,absrel,sqrel,rmse,rmse_log,delta1,delta2,delta3
1661868173547958016.png,0.202300,1.558235,4.733832,1.324643,0.857515,0.863157,0.876724
1661868173589958912.png,0.250610,1.672611,4.821670,1.328498,0.757243,0.852400,0.866778
1661868173628959744.png,0.258843,1.731185,4.967375,1.234509,0.747192,0.836402,0.851674
1661868173676960768.png,0.276895,1.829957,5.134748,1.155532,0.705369,0.814888,0.833926
1661868173715961600.png,0.233332,1.707832,5.033425,1.120044,0.814895,0.822319,0.842574
1661868173760962560.png,0.198158,1.601678,4.937317,1.047957,0.817098,0.825067,0.849786
1661868173802963456.png,0.165946,1.513715,4.836120,0.986677,0.811925,0.825671,0.856465
1661868173844964352.png,0.224089,1.614728,4.937196,1.009751,0.811657,0.824117,0.849424
1661868173886965248.png,0.183179,1.457554,4.737123,0.964933,0.826496,0.839018,0.864266
1661868173931966208.png,0.228082,1.495683,4.739006,0.976444,0.822208,0.838789,0.864725
1661868173973967104.png,0.291290,1.625663,4.843346,0.998373,0.609091,0.835347,0.854947
1661868174021968128.png,0.216147,1.347121,4.508404,0.898250,0.835275,0.858475,0.877978
1661868174063969024.png,0.189907,1.369098,4.557044,0.921400,0.849416,0.861375,0.875628
1661868174105969920.png,0.211193,1.479885,4.706302,0.960327,0.846602,0.854607,0.865564
1661868174147970816.png,0.191698,1.534467,4.807297,1.012852,0.849219,0.857312,0.864950
1661868174183971584.png,0.213404,1.648455,4.961900,1.059861,0.844180,0.851402,0.855699
1661868174225972480.png,0.198791,1.625187,4.944488,1.056386,0.847470,0.857712,0.862879
1661868174264973312.png,0.207369,1.657371,4.978709,1.079291,0.849379,0.855292,0.860893
1661868174306974208.png,0.163673,1.580389,4.900050,1.046790,0.854963,0.862296,0.867521
1661868174354975232.png,0.150891,1.559788,4.865078,1.045648,0.859476,0.865250,0.870129
1661868174399976192.png,0.189243,1.604459,4.897331,1.068973,0.856409,0.862624,0.867310
1661868174441977088.png,0.156442,1.561142,4.851022,1.067261,0.859496,0.866924,0.870759
1661868174483977984.png,0.189563,1.611087,4.884506,1.089709,0.855226,0.862085,0.865601
1661868174525978880.png,0.162241,1.554891,4.824048,1.057038,0.857926,0.865732,0.870183
1661868174564979712.png,0.157017,1.554318,4.822009,1.073071,0.856679,0.865204,0.871311
1661868174603980544.png,0.176494,1.531930,4.765471,1.076854,0.859317,0.868816,0.873895
1661868174645981440.png,0.185347,1.563364,4.789658,1.123011,0.851466,0.865514,0.872807
1661868174693982464.png,0.197586,1.536674,4.726459,1.112912,0.853402,0.869532,0.874473
1661868174735983360.png,0.154032,1.447173,4.618200,1.080244,0.855444,0.874879,0.881510
1661868174780984320.png,0.182113,1.489112,4.656916,1.081653,0.853396,0.868379,0.877291
1661868174828985344.png,0.200726,1.603916,4.828377,1.116012,0.831676,0.860257,0.869577
1661868174870986240.png,0.156991,1.474661,4.688087,1.081272,0.841512,0.872343,0.880388
1661868174912987136.png,0.165314,1.478298,4.681816,1.065070,0.829932,0.867706,0.879089
1661868174960988160.png,0.237581,1.619285,4.788881,1.129656,0.793766,0.856701,0.868782
1661868175002989056.png,0.222765,1.603674,4.826837,1.109065,0.788688,0.858746,0.871453
1661868175044989952.png,0.210148,1.566444,4.786146,1.104177,0.790915,0.859716,0.873393
1661868175086990848.png,0.232640,1.643291,4.939025,1.077583,0.766171,0.853946,0.866025
1661868175128991744.png,0.237676,1.753128,5.117803,1.091103,0.748686,0.835516,0.855509
1661868175170992640.png,0.231474,1.775155,5.193812,1.079607,0.748255,0.826002,0.850596
1661868175209993472.png,0.280900,1.986604,5.467799,1.103818,0.696149,0.804001,0.840100
1661868175251994368.png,0.243651,1.948999,5.503355,1.050874,0.715587,0.799193,0.841204
1661868175302995456.png,0.257252,2.065134,5.639348,1.064980,0.692947,0.783447,0.827880
1661868175341996288.png,0.250734,2.115725,5.729282,1.032925,0.706552,0.772847,0.816976
1661868175383997184.png,0.268519,2.388079,6.135069,1.079137,0.663549,0.748412,0.799652
1661868175425998080.png,0.269555,2.466035,6.255613,1.079949,0.671037,0.736793,0.789692
1661868175470999040.png,0.278708,2.631948,6.480602,1.114564,0.661392,0.728256,0.777741
1661868175509999872.png,0.285292,2.724982,6.592917,1.117127,0.652716,0.712047,0.770718
1661868175549000704.png,0.285242,2.783318,6.657578,1.135641,0.639024,0.709162,0.762761
1661868175591001600.png,0.271438,2.720913,6.599899,1.132029,0.648342,0.716293,0.765137
1661868175639002624.png,0.288828,2.807414,6.667871,1.144751,0.635106,0.707486,0.755762
1661868175681003520.png,0.307481,2.886913,6.750122,1.143485,0.610619,0.699873,0.750559
1661868175723004416.png,0.288325,2.796271,6.672365,1.107428,0.611099,0.707806,0.758233
1661868175765005312.png,0.285923,2.756234,6.620402,1.115191,0.623291,0.710133,0.764249
1661868175810006272.png,0.288773,2.783643,6.661325,1.107897,0.624165,0.709801,0.760660
1661868175849007104.png,0.296837,2.853514,6.749869,1.124385,0.594943,0.706556,0.756654
1661868175897008128.png,0.289447,2.820760,6.748488,1.120166,0.619942,0.707733,0.765265
1661868175939009024.png,0.295089,2.896715,6.843462,1.133650,0.611959,0.699805,0.756170
1661868175981009920.png,0.309602,2.889867,6.815937,1.108495,0.572791,0.693891,0.758517
1661868176029010944.png,0.309794,2.892134,6.824799,1.111324,0.569941,0.696836,0.761608
1661868176071011840.png,0.302981,2.938839,6.900322,1.146950,0.592892,0.698582,0.758459
1661868176113012736.png,0.305920,2.987626,6.954751,1.164753,0.600350,0.697921,0.756016
1661868176152013568.png,0.317277,3.037745,7.011990,1.184703,0.567303,0.694881,0.754623
1661868176197014528.png,0.320100,3.039903,6.995430,1.186544,0.546232,0.691074,0.754409
1661868176242015488.png,0.311502,2.951220,6.900795,1.185053,0.571168,0.703465,0.762204
1661868176284016384.png,0.321860,3.113231,7.070042,1.224759,0.568756,0.686942,0.746347
1661868176323017216.png,0.319127,3.012719,6.969431,1.190200,0.566992,0.693598,0.752048
1661868176368018176.png,0.323782,3.099616,7.052564,1.235946,0.551944,0.685915,0.747299
1661868176410019072.png,0.322289,3.067008,7.011754,1.234503,0.564676,0.690876,0.751424
1661868176452019968.png,0.337288,3.197081,7.127935,1.263180,0.562421,0.673601,0.737289
1661868176497020928.png,0.339394,3.204962,7.137847,1.265917,0.570496,0.678865,0.737379
1661868176536021760.png,0.334259,3.143876,7.074085,1.249351,0.565517,0.685516,0.745187
1661868176578022656.png,0.335870,3.086189,6.989342,1.219723,0.555404,0.682977,0.742751
1661868176617023488.png,0.342444,3.050603,6.938451,1.222629,0.536157,0.684157,0.747861
1661868176659024384.png,0.342622,3.060179,6.956708,1.227989,0.506185,0.682475,0.747185
1661868176701025280.png,0.347658,3.061616,6.928894,1.220739,0.510215,0.679919,0.743332
1661868176743026176.png,0.348035,3.042520,6.910563,1.226992,0.507126,0.682884,0.744937
1661868176785027072.png,0.351088,2.968527,6.809437,1.207560,0.510940,0.668853,0.750859
1661868176824027904.png,0.353838,2.931394,6.775813,1.194721,0.497495,0.672223,0.750388
1661868176869028864.png,0.353744,2.929097,6.755907,1.190104,0.522905,0.686234,0.750910
1661868176914029824.png,0.354649,2.906873,6.707235,1.218402,0.522837,0.679936,0.747154
1661868176953030656.png,0.359092,3.028177,6.853763,1.260641,0.538907,0.672129,0.735319
1661868176992031488.png,0.349964,2.997032,6.861566,1.269789,0.538414,0.686603,0.746891
1661868177034032384.png,0.336675,2.982954,6.852496,1.283197,0.562517,0.686934,0.744568
1661868177076033280.png,0.380352,2.949680,6.753294,1.256360,0.490324,0.653397,0.748531
1661868177118034176.png,0.356008,2.843449,6.647062,1.226539,0.530454,0.666021,0.743964
1661868177163035136.png,0.344956,2.771000,6.571043,1.194183,0.554711,0.694789,0.762458
1661868177208036096.png,0.358821,2.770793,6.550092,1.199898,0.503444,0.695628,0.767717
1661868177244036864.png,0.348266,2.741318,6.562437,1.225023,0.508171,0.700155,0.769694
1661868177283037696.png,0.360952,2.847400,6.676410,1.260335,0.494654,0.684968,0.762176
1661868177325038592.png,0.358824,2.987836,6.842208,1.289844,0.502528,0.674287,0.757987
1661868177367039488.png,0.347789,3.008719,6.889473,1.298275,0.517719,0.683440,0.759368
1661868177409040384.png,0.348589,3.032322,6.927033,1.303962,0.512945,0.686060,0.755643
1661868177451041280.png,0.359204,3.043584,6.920334,1.264689,0.484545,0.679278,0.750195
1661868177493042176.png,0.361523,3.092086,6.962028,1.288440,0.492432,0.677870,0.748911
1661868177535043072.png,0.361374,3.108025,7.004303,1.303283,0.482738,0.677226,0.750269
1661868177580044032.png,0.356211,3.078409,6.979434,1.292741,0.503146,0.668335,0.746630
1661868177625044992.png,0.354462,3.100591,6.987750,1.300234,0.514008,0.652733,0.739804
1661868177670045952.png,0.370193,3.158428,7.019362,1.310824,0.475985,0.651109,0.732938
1661868177712046848.png,0.373638,3.142186,6.983934,1.299615,0.495826,0.661761,0.737653
1661868177748047616.png,0.364158,3.129206,6.956939,1.295544,0.522036,0.670680,0.732433
1661868177793048576.png,0.378152,3.167631,6.973442,1.313281,0.500140,0.678437,0.736901
1661868177838049536.png,0.396921,3.176742,6.968085,1.328138,0.451691,0.670437,0.734884
1661868177877050368.png,0.409780,3.186191,6.984776,1.311646,0.412095,0.654893,0.727369
1661868177916051200.png,0.430474,3.350031,7.100626,1.366976,0.428443,0.621287,0.712210
1661868177958052096.png,0.416931,3.351526,7.126253,1.395333,0.436854,0.641223,0.716586
1661868178003053056.png,0.456748,3.488495,7.164324,1.424064,0.427933,0.618699,0.705143
1661868178048054016.png,0.431977,3.498983,7.157155,1.424721,0.457600,0.631161,0.698435
1661868178090054912.png,0.421607,3.315335,7.039709,1.375130,0.464777,0.641285,0.710327
1661868178132055808.png,0.438862,3.308577,6.986494,1.377041,0.438951,0.628089,0.716037
1661868178171056640.png,0.450964,3.166204,6.803940,1.327946,0.407659,0.625738,0.723619
1661868178207057408.png,0.441400,3.145368,6.773898,1.332496,0.428733,0.632883,0.721718
1661868178249058304.png,0.433975,2.918915,6.483227,1.263497,0.383628,0.635569,0.734336
1661868178297059328.png,0.427475,2.790698,6.284009,1.239318,0.416196,0.665050,0.762108
1661868178339060224.png,0.452049,2.695529,6.136198,1.217526,0.401409,0.656670,0.769899
1661868178384061184.png,0.477271,2.832875,6.156476,1.287199,0.440158,0.663387,0.751879
1661868178426062080.png,0.515663,2.904705,6.164114,1.318394,0.434977,0.624588,0.732477
1661868178468062976.png,0.488052,3.105491,6.352046,1.329283,0.461771,0.655138,0.756756
1661868178510063872.png,0.523033,3.083507,6.322849,1.361195,0.438712,0.650231,0.740633
1661868178546064640.png,0.422003,2.946869,6.379587,1.387265,0.473518,0.693659,0.768571
1661868178588065536.png,0.420997,2.942647,6.369058,1.381075,0.485216,0.698736,0.770671
1661868178630066432.png,0.396088,2.934003,6.499511,1.359688,0.484697,0.665356,0.758025
1661868178669067264.png,0.387312,2.830747,6.422624,1.330925,0.453926,0.680057,0.760496
1661868178711068160.png,0.350093,2.681118,6.387818,1.302656,0.465476,0.700465,0.768294
1661868178759069184.png,0.332741,2.693999,6.425116,1.358704,0.540645,0.720809,0.775374
1661868178804070144.png,0.320931,2.711133,6.409719,1.348099,0.578731,0.736645,0.780743
1661868178846071040.png,0.291325,2.128032,5.526999,1.314885,0.633494,0.799201,0.827201
1661868178888071936.png,0.278004,1.908416,5.219670,1.225876,0.633105,0.798358,0.838639
1661868178930072832.png,0.293912,2.772221,6.490366,1.428764,0.634118,0.742165,0.782891
1661868178972073728.png,0.324383,2.946625,6.707959,1.417131,0.575811,0.718239,0.757599
1661868179014074624.png,0.317840,2.861727,6.629375,1.392196,0.601737,0.723561,0.767386
1661868179059075584.png,0.359709,2.839498,6.532956,1.393703,0.611126,0.696021,0.747290
1661868179107076608.png,0.316632,2.770138,6.486152,1.366986,0.616922,0.709487,0.762181
